implementation,factor,MC
Matlab,3,0.9967857813013952
Matlab,4,0.9928610706416336
Matlab,1,0.7771127243557884
Matlab,2,0.9976105313831941
Matlab,3,0.9957169737561932
Matlab,4,0.9940851917027654
Matlab,1,0.8601713833409036
Matlab,2,0.9961757006143821
Matlab,3,0.9967993293096078
Matlab,4,0.9934870942320998
Matlab,1,0.9369655201288661
Matlab,2,0.9977907818636521
Matlab,3,0.9961625650542271
Matlab,4,0.9915737923811929
Matlab,1,0.7946634186635652
Matlab,2,0.9982226468662561
Matlab,3,0.9959214053302945
Matlab,4,0.9932771172156184
Matlab,1,0.8593425700799469
Matlab,2,0.9973963731502768
Matlab,3,0.9977084065672481
Matlab,4,0.989117847746462
Matlab,1,0.8279211364069601
Matlab,2,0.9984086607437174
Matlab,3,0.9965004257543442
Matlab,4,0.9934643782653628
Matlab,1,0.8067022818023943
Matlab,2,0.9976473787576207
Matlab,3,0.9941375493512622
Matlab,4,0.9936235272789136
Matlab,1,0.8623488588696309
Matlab,2,0.9982788874501529
Matlab,3,0.9951203383249111
Matlab,4,0.9918954524244535
Matlab,1,0.8432333836110049
Matlab,2,0.9973394757550839
Matlab,3,0.993812952513055
Matlab,4,0.9952671390604987
Matlab,1,0.9439914250201324
Matlab,2,0.9981592563853017
Matlab,3,0.9961558606190567
Matlab,4,0.9938246119397189
Matlab,1,0.723709557693194
Matlab,2,0.9980443146040239
Matlab,3,0.9959463654574979
Matlab,4,0.9943365206869794
Matlab,1,0.8746196590943849
Matlab,2,0.9977110394552129
Matlab,3,0.9952371129372591
Matlab,4,0.9911616693603664
Matlab,1,0.8320169906570797
Matlab,2,0.9977326721557381
Matlab,3,0.9961448169770734
Matlab,4,0.9939684863564977
Matlab,1,0.8296203849043994
Matlab,2,0.9980646470839186
Matlab,3,0.9953115744135032
Matlab,4,0.9937576470664437
Matlab,1,0.8708382567745637
Matlab,2,0.9979838176150925
Matlab,3,0.9961159522690661
Matlab,4,0.9939169718338335
Matlab,1,0.6288200198788164
Matlab,2,0.9978071554592681
Matlab,3,0.9952449323596252
Matlab,4,0.9942259063889942
Matlab,1,0.82107339566975035
Matlab,2,0.9979516671542664
Matlab,3,0.9966218681881471
Matlab,4,0.9909574922113124
Matlab,1,0.8013160810691391
Matlab,2,0.9976612487205418
Matlab,3,0.9944296065838103
Matlab,4,0.9912297606262286
Matlab,1,0.6376672077335815
Matlab,2,0.9961671173753962
Matlab,3,0.9964721801184099
Matlab,4,0.9954515891318899
Matlab,1,0.7186963364760719
Matlab,2,0.9976387421545861
Matlab,3,0.9971703401593519
Matlab,4,0.9944302849198469
Matlab,1,0.9641041165199206
Matlab,2,0.9978023276065547
Matlab,3,0.9955806828542741
Matlab,4,0.9953303382031062
Matlab,1,0.9117919488534517
Matlab,2,0.9985350585014305
Matlab,3,0.9959748921090034
Matlab,4,0.9940356109878894
Matlab,1,0.8915107198891881
Matlab,2,0.997255103631773
Matlab,3,0.9970156210742542
Matlab,4,0.9925647082381582
Matlab,1,0.7195995078321418
Matlab,2,0.9974993469362348
Matlab,3,0.994807641527796
Matlab,4,0.9951728799654974
Matlab,1,0.6855329516722408
Matlab,2,0.997335470939116
Matlab,3,0.9961771619850557
Matlab,4,0.993118777339411
Matlab,1,0.7263292067112905
Matlab,2,0.9966611551493508
Matlab,3,0.9957926971810209
Matlab,4,0.9930191799255671
Matlab,1,0.6335005425709266
Matlab,2,0.9973167882694689
Matlab,3,0.9953652976343517
Matlab,4,0.9928609845617938
Matlab,1,0.8471900098901208
Matlab,2,0.9971660305933693
Matlab,3,0.9962175764376923
Matlab,4,0.9956208472429815
Matlab,1,0.8958294938334724
Matlab,2,0.9976498056134623
Matlab,3,0.9961725965383817
Matlab,4,0.9905480891794544
Matlab,1,0.7818585769653962
Matlab,2,0.9967024323391551
Matlab,3,0.9948771436529552
Matlab,4,0.9935715731045074
Matlab,1,0.7281770172720757
Matlab,2,0.9977252111118327
Matlab,3,0.9951791013089475
Matlab,4,0.9919313773000834
Matlab,1,0.8376236622864024
Matlab,2,0.9970121043760679
Matlab,3,0.994938516215945
Matlab,4,0.9912006169500597
Matlab,1,0.9212542248152388
Matlab,2,0.9977852974790857
Matlab,3,0.9960834178026022
Matlab,4,0.9943063068136481
Matlab,1,0.7616608400801826
Matlab,2,0.9972012332356407
Matlab,3,0.9965998271941349
Matlab,4,0.9933054756488521
Matlab,1,0.6918466603560174
Matlab,2,0.9979135969757348
Matlab,3,0.9957025310134232
Matlab,4,0.9948536676426223
Matlab,1,0.8841190631411757
Matlab,2,0.9961997488559321
Matlab,3,0.9955227542258386
Matlab,4,0.9932247940997008
Matlab,1,0.8963524455916875
Matlab,2,0.9968333793801435
Matlab,3,0.9940690745872877
Matlab,4,0.9936040164395888
Matlab,1,0.8361907902732383
Matlab,2,0.9968321055674206
Matlab,3,0.9951317984140934
Matlab,4,0.9932181245547993
Matlab,1,0.8960638336501702
Matlab,2,0.9974555080169252
Matlab,3,0.9943861057756435
Matlab,4,0.9955037179110507
Matlab,1,0.8284001927127999
Matlab,2,0.9980932539779264
Matlab,3,0.9955680453861115
Matlab,4,0.9928478798524787
Matlab,1,0.6892874698225324
Matlab,2,0.9977976060175409
Matlab,3,0.9952451569610715
Matlab,4,0.9958461547327278
Matlab,1,0.8972541038182571
Matlab,2,0.998049844975585
Matlab,3,0.9950953419013231
Matlab,4,0.9942509073536028
Matlab,1,0.8507051859086644
Matlab,2,0.9975526542547694
Matlab,3,0.9956431880063457
Matlab,4,0.9929858432549927
Matlab,1,0.8683243136681693
Matlab,2,0.9979770338358545
Matlab,3,0.9959545898359581
Matlab,4,0.9933655484065599
Matlab,1,0.7537974352696507
Matlab,2,0.9976592504118593
Matlab,3,0.9948668666393969
Matlab,4,0.9940187373298882
Matlab,1,0.8102045190234299
Matlab,2,0.9974831068068988
Matlab,3,0.9960626029844796
Matlab,4,0.9948008569298381
Matlab,1,0.870029220205102
Matlab,2,0.9983137263281816
Matlab,3,0.9953397711416259
Matlab,4,0.9958046027310045
Matlab,1,0.8910099996252374
Matlab,2,0.9963379979082333
Matlab,3,0.9970737009017815
Matlab,4,0.9957738049356679
Matlab,1,0.4653012882847226
Matlab,2,0.9983974631736455
Matlab,3,0.9964187579759858
Matlab,4,0.9935739695918985
Matlab,1,0.595910484220963
Matlab,2,0.9979727137424448
Matlab,3,0.9950984841875649
Matlab,4,0.9947056872813351
Matlab,1,0.8465707486729547
Matlab,2,0.997758875857369
Matlab,3,0.9956395584626309
Matlab,4,0.9910235028376311
Matlab,1,0.9399554697713626
Matlab,2,0.9977879861952019
Matlab,3,0.9962705858659848
Matlab,4,0.9956104393354739
Matlab,1,0.74927376041220906
Matlab,2,0.9981238964387478
Matlab,3,0.994374046355628
Matlab,4,0.9943310986079721
Matlab,1,0.60763664694168
Matlab,2,0.9975579915787769
Matlab,3,0.9964917841897051
Matlab,4,0.9954313735517243
Matlab,1,0.449725999097917
Matlab,2,0.997352640446747
Matlab,3,0.9953907794644291
Matlab,4,0.9933795141327056
Matlab,1,0.8864345573819563
Matlab,2,0.996900680976161
Matlab,3,0.9975355571829532
Matlab,4,0.9908485276288161
Matlab,1,0.8606405527069453
Matlab,2,0.9975830370709277
Matlab,3,0.9967564184113441
Matlab,4,0.9940215543777623
Matlab,1,0.9233889992485415
Matlab,2,0.9977714271191572
Matlab,3,0.9958850306957104
Matlab,4,0.9934012776842251
Matlab,1,0.7657150804647459
Matlab,2,0.9985812636419921
Matlab,3,0.9960538966830306
Matlab,4,0.9950287803798329
Matlab,1,0.8578420189518784
Matlab,2,0.9975665032673411
Matlab,3,0.9941128665802671
Matlab,4,0.9922030814377445
Matlab,1,0.9370054674835337
Matlab,2,0.9977159621412373
Matlab,3,0.9956642474972847
Matlab,4,0.993677061543134
Matlab,1,0.910690430580047
Matlab,2,0.9976682755178552
Matlab,3,0.9957125146269101
Matlab,4,0.9934640567572276
Matlab,1,0.8554297924869493
Matlab,2,0.9979647092415191
Matlab,3,0.9958620804797472
Matlab,4,0.9949332530959625
Matlab,1,0.6272694070419824
Matlab,2,0.9977779789093218
Matlab,3,0.9962864503010119
Matlab,4,0.9918606302475026
Matlab,1,0.8126797139114911
Matlab,2,0.9973710192110585
Matlab,3,0.99552396269299
Matlab,4,0.9964386768374978
Matlab,1,0.9976530433819645
Matlab,2,0.9972557407748329
Matlab,3,0.9966216104858474
Matlab,4,0.9927859213626584
Matlab,1,0.8108713223837709
Matlab,2,0.9979106447008871
Matlab,3,0.9962962782070567
Matlab,4,0.995004019523109
Matlab,1,0.8297744277767738
Matlab,2,0.9975745058161191
Matlab,3,0.9950566318511104
Matlab,4,0.9931881564504893
Matlab,1,0.8728206940938128
Matlab,2,0.9981477158846663
Matlab,3,0.9954919610417604
Matlab,4,0.9938589535032449
Matlab,1,0.6774847447376248
Matlab,2,0.9978607259866558
Matlab,3,0.9966402992532293
Matlab,4,0.9922458510586332
Matlab,1,0.8023512912174862
Matlab,2,0.9975354226190668
Matlab,3,0.9955654263923388
Matlab,4,0.9936353255435684
Matlab,1,0.7961137951204178
Matlab,2,0.9967661775148616
Matlab,3,0.9965315435478728
Matlab,4,0.9906286956510206
Matlab,1,0.8584850568393578
Matlab,2,0.9976808495124859
Matlab,3,0.9964674198758108
Matlab,4,0.9950084167435452
Matlab,1,0.9204185892978959
Matlab,2,0.9965996238219882
Matlab,3,0.9958049529293832
Matlab,4,0.992452889876596
Matlab,1,0.7839897866246605
Matlab,2,0.9979597717878064
Matlab,3,0.9964258207500823
Matlab,4,0.9953211852198579
Matlab,1,0.7488894362888335
